match_id,group,type,matchday,match_datetime,home_team,away_team,home_code,away_code,home_score,away_score,finished,goal_diff,total_goals,match_result
40,H,group,2,2026-06-21 18:00:00,Uruguay,Cape Verde,,,2,2,True,0,4,draw
47,K,group,2,2026-06-23 20:00:00,Colombia,Democratic Republic of the Congo,,,1,0,True,1,1,home_win
71,K,group,3,2026-06-27 19:30:00,Colombia,Portugal,,,0,0,False,0,0,not_finished
73,R32,r32,4,2026-06-28 12:00:00,South Africa,Canada,,,0,0,False,0,0,not_finished
77,R32,r32,4,2026-06-30 17:00:00,Winner Group I,3rd Group C/D/F/G/H,,,0,0,False,0,0,not_finished
84,R32,r32,4,2026-07-02 12:00:00,Winner Group H,Runner-up Group J,,,0,0,False,0,0,not_finished
90,R16,r16,5,2026-07-04 12:00:00,Winner Match 73,Winner Match 75,,,0,0,False,0,0,not_finished
92,R16,r16,5,2026-07-05 18:00:00,Winner Match 79,Winner Match 80,,,0,0,False,0,0,not_finished
94,R16,r16,5,2026-07-06 17:00:00,Winner Match 81,Winner Match 82,,,0,0,False,0,0,not_finished
14,H,group,1,2026-06-15 12:00:00,Spain,Cape Verde,,,0,0,True,0,0,draw
16,H,group,1,2026-06-15 18:00:00,Saudi Arabia,Uruguay,,,1,1,True,0,2,draw
20,J,group,1,2026-06-16 21:00:00,Austria,Jordan,,,3,1,True,2,4,home_win
23,K,group,1,2026-06-17 20:00:00,Uzbekistan,Colombia,,,1,3,True,-2,4,away_win
91,R16,r16,5,2026-07-05 16:00:00,Winner Match 76,Winner Match 78,,,0,0,False,0,0,not_finished
97,QF,qf,6,2026-07-09 16:00:00,Winner Match 89,Winner Match 90,,,0,0,False,0,0,not_finished
104,FINAL,final,9,2026-07-19 15:00:00,Winner Match 101,Winner Match 102,,,0,0,False,0,0,not_finished
3,B,group,1,2026-06-12 15:00:00,Canada,Bosnia and Herzegovina,,,1,1,True,0,2,draw
13,G,group,1,2026-06-15 18:00:00,Iran,New Zealand,,,2,2,True,0,4,draw
19,J,group,1,2026-06-16 20:00:00,Argentina,Algeria,,,3,0,True,3,3,home_win
24,L,group,1,2026-06-17 19:00:00,Ghana,Panama,,,1,0,True,1,1,home_win
28,A,group,2,2026-06-18 12:00:00,Czech Republic,South Africa,,,1,1,True,0,2,draw
48,L,group,2,2026-06-23 16:00:00,England,Ghana,,,0,0,True,0,0,draw
55,E,group,3,2026-06-25 16:00:00,Curaçao,Ivory Coast,,,0,2,True,-2,2,away_win
56,E,group,3,2026-06-25 16:00:00,Ecuador,Germany,,,2,1,True,1,3,home_win
68,L,group,3,2026-06-27 17:00:00,Croatia,Ghana,,,0,0,False,0,0,not_finished
69,J,group,3,2026-06-27 21:00:00,Algeria,Austria,,,0,0,False,0,0,not_finished
74,R32,r32,4,2026-06-29 16:30:00,Germany,3rd Group A/B/C/D/F,,,0,0,False,0,0,not_finished
81,R32,r32,4,2026-07-01 17:00:00,United States,3rd Group B/E/F/I/J,,,0,0,False,0,0,not_finished
103,3RD,third,8,2026-07-18 17:00:00,Loser Match 101,Loser Match 102,,,0,0,False,0,0,not_finished
15,G,group,1,2026-06-15 12:00:00,Belgium,Egypt,,,1,1,True,0,2,draw
34,E,group,2,2026-06-20 19:00:00,Ecuador,Curaçao,,,0,0,True,0,0,draw
54,B,group,3,2026-06-24 12:00:00,Switzerland,Canada,,,2,1,True,1,3,home_win
57,D,group,3,2026-06-25 19:00:00,Paraguay,Australia,,,0,0,True,0,0,draw
64,G,group,3,2026-06-26 20:00:00,New Zealand,Belgium,,,0,0,False,0,0,not_finished
75,R32,r32,4,2026-06-29 19:00:00,Winner Group F,Morocco,,,0,0,False,0,0,not_finished
78,R32,r32,4,2026-06-30 12:00:00,Runner-up Group E,Runner-up Group I,,,0,0,False,0,0,not_finished
79,R32,r32,4,2026-06-30 19:00:00,Mexico,3rd Group C/E/F/H/I,,,0,0,False,0,0,not_finished
80,R32,r32,4,2026-07-01 12:00:00,Winner Group L,3rd Group E/H/I/J/K,,,0,0,False,0,0,not_finished
82,R32,r32,4,2026-07-01 13:00:00,Winner Group G,3rd Group A/E/H/I/J,,,0,0,False,0,0,not_finished
89,R16,r16,5,2026-07-04 17:00:00,Winner Match 74,Winner Match 77,,,0,0,False,0,0,not_finished
99,QF,qf,6,2026-07-11 17:00:00,Winner Match 91,Winner Match 92,,,0,0,False,0,0,not_finished
